entr_tag_name,tag_subtype_id,source_tag_name,interval_s,value_type,value_units
WMETR.HorWdSpdU,1,u_ms,3600,average,m/s
WMETR.HorWdSpdV,1,v_ms,3600,average,m/s
WMETR.EnvTmp,1,temperature_K,3600,average,K
WMETR.EnvPres,1,surf_pres_Pa,3600,average,Pa
WMETR.HorWdSpd,1,windspeed_ms,3600,average,m/s
WMETR.HorWdDir,1,winddirection_deg,3600,average,deg
WMETR.AirDen,1,rho_kgm3,3600,average,kg/m³
